StationName,State,ABSLMP,ID,Latitude,Longitude,MetadataURL,MonthlyStatsURL
Goods Island,Queensland,FALSE,,-10.561666,142.1516667,http://www.bom.gov.au/ntc/IDO50000/IDO50000_58200.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_58200_SLD.txt
Hay Point,Queensland,FALSE,,-21.28333,149.3,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59511.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59511_SLD.txt
Ince Point,Queensland,FALSE,,-10.508333,142.31,http://www.bom.gov.au/ntc/IDO50000/IDO50000_58140.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_58140_SLD.txt
Karumba,Queensland,FALSE,,-17.5,140.83333,http://www.bom.gov.au/ntc/IDO50000/IDO50000_63580.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_63580_SLD.txt
Lucinda (Offshore),Queensland,FALSE,,-18.516666,146.383333,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59200.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59200_SLD.txt
Mackay Outer Harbour,Queensland,FALSE,,-21.1,149.233333,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59510.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59510_SLD.txt
Mooloolaba,Queensland,FALSE,,-26.68333,153.13333,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59950.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59950_SLD.txt
Nardana Patches,Queensland,FALSE,,-10.50475,143.243817,http://www.bom.gov.au/ntc/IDO50000/IDO50000_58178.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_58178_SLD.txt
Mourilyan Harbour,Queensland,FALSE,,-17.6,146.11666,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59140.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59140_SLD.txt
Port Alma,Queensland,FALSE,,-23.583333,150.866666,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59690.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59690_SLD.txt
Port Douglas,Queensland,FALSE,,-16.4833333,145.46666,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59040.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59040_SLD.txt
Shute Harbour,Queensland,FALSE,,-20.283333,148.783333,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59410.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59410_SLD.txt
Townsville,Queensland,FALSE,,-19.25,146.83333,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59250.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_59250_SLD.txt
